tms_acc,x_acc,y_acc,z_acc,tms_gyr,x_gyr,y_gyr,z_gyr,tms_mag,x_mag,y_mag,z_mag,tms_ori,yaw,pitch,roll,blockID,testID,freq
20230915-14:02:48.545,0.05746084,-2.0446482,-9.593566,20230915-14:02:48.556,0.0064904434,-0.005726862,0.010079277,20230915-14:02:48.608,0.9525,25.109999,18.66,20230915-14:02:48.546,0.0,0.0,0.0,86906,1,100
20230915-14:02:48.548,0.06823475,-2.0446482,-9.67856,20230915-14:02:48.608,0.005879578,-0.0045051314,0.011911872,20230915-14:02:48.639,1.2975,24.6975,18.3,20230915-14:02:48.549,0.0,0.0,0.0,86906,1,100
20230915-14:02:48.608,0.022744916,-2.1332338,-9.55885,20230915-14:02:48.639,-0.005726862,0.0064904434,0.00580322,20230915-14:02:48.656,1.8,24.6975,18.5025,20230915-14:02:48.609,0.0,0.0,0.0,86906,1,100
20230915-14:02:48.639,0.061052144,-2.0590134,-9.591172,20230915-14:02:48.656,-0.005726862,0.0052687125,0.004581489,20230915-14:02:48.673,1.8,24.8025,18.5025,20230915-14:02:48.639,0.069291614,0.21178539,-3.1355028,86906,1,100
20230915-14:02:48.656,0.074220255,-2.0518308,-9.607931,20230915-14:02:48.673,-0.0075594573,0.00038179077,0.0021380284,20230915-14:02:48.695,1.7025,24.6975,18.5025,20230915-14:02:48.656,0.09462191,0.20986108,-3.1347299,86906,1,100
20230915-14:02:48.673,0.093373865,-2.0853498,-9.66659,20230915-14:02:48.696,-0.0051159966,-0.0026725354,0.0009162979,20230915-14:02:48.708,1.5975,24.8025,18.6975,20230915-14:02:48.674,0.09693915,0.21246184,-3.1319335,86906,1,100
20230915-14:02:48.696,0.12808979,-2.0937295,-9.673772,20230915-14:02:48.708,-0.0045051314,0.003436117,0.0009162979,20230915-14:02:48.726,-17.3025,25.432499,54.225,20230915-14:02:48.695,0.092655905,0.21246184,-3.1319335,86906,1,100
20230915-14:02:48.708,0.10414778,-2.12246,-9.661801,20230915-14:02:48.726,-0.0032834008,0.005879578,-0.00030543262,20230915-14:02:48.740,1.89,24.375,30.24,20230915-14:02:48.708,0.09138185,0.21337205,-3.1276014,86906,1,100
20230915-14:02:48.726,0.10534488,-2.054225,-9.653421,20230915-14:02:48.740,-0.0026725354,0.004046982,-0.0009162979,20230915-14:02:48.756,2.0774999,23.9475,19.74,20230915-14:02:48.726,-0.9036338,0.21622849,-3.1308138,86906,1,100
20230915-14:02:48.740,0.093373865,-2.1080947,-9.651027,20230915-14:02:48.758,-0.0032834008,0.0016035213,-0.008246681,20230915-14:02:48.767,2.0774999,23.9475,19.74,20230915-14:02:48.741,-0.9026783,0.21504459,-3.131918,86906,1,100
20230915-14:02:48.756,0.09935937,-2.0254946,-9.648633,20230915-14:02:48.768,-0.0045051314,0.0028252518,-0.009468411,20230915-14:02:48.784,1.5,24.435,20.175,20230915-14:02:48.756,0.124099016,0.20691024,-3.1312952,86906,1,100
20230915-14:02:48.769,0.08619126,-2.0685902,-9.640253,20230915-14:02:48.777,-0.0051159966,0.003436117,-0.009468411,20230915-14:02:48.795,-6.315,25.0275,33.285,20230915-14:02:48.767,0.11680274,0.21251632,-3.1324105,86906,1,100
20230915-14:02:48.780,0.06703765,-2.0578163,-9.640253,20230915-14:02:48.788,-0.0051159966,0.0046578473,-0.010079277,20230915-14:02:48.804,-6.315,25.0275,33.285,20230915-14:02:48.780,0.08312325,0.2102996,-3.1346388,86906,1,100
20230915-14:02:48.790,0.06823475,-2.0602105,-9.628283,20230915-14:02:48.800,-0.005726862,0.0046578473,-0.009468411,20230915-14:02:48.817,1.6574999,23.9175,29.7375,20230915-14:02:48.790,0.08330969,0.21079098,-3.1345057,86906,1,100
20230915-14:02:48.800,0.051475335,-2.0566192,-9.631873,20230915-14:02:48.817,-0.006948592,0.0046578473,-0.009468411,20230915-14:02:48.847,1.7099999,24.375,30.172499,20230915-14:02:48.801,-0.3369568,0.21036035,-3.1362484,86906,1,100
20230915-14:02:48.820,0.06344634,-2.0590134,-9.648633,20230915-14:02:48.828,-0.0075594573,0.0046578473,-0.010079277,20230915-14:02:48.864,1.2825,24.449999,18.404999,20230915-14:02:48.818,0.10522082,0.20990242,-3.136251,86906,1,100
20230915-14:02:48.830,0.053869538,-2.0709844,-9.654618,20230915-14:02:48.847,-0.010002919,0.0046578473,-0.008857546,20230915-14:02:48.875,0.93,25.057499,20.43,20230915-14:02:48.830,0.10591864,0.21130182,-3.136013,86906,1,100
20230915-14:02:48.847,0.053869538,-2.0769699,-9.66659,20230915-14:02:48.857,-0.008781188,0.0077121737,-0.005192355,20230915-14:02:48.884,0.93,25.057499,20.43,20230915-14:02:48.847,0.10688218,0.21130182,-3.136013,86906,1,100
20230915-14:02:48.860,0.039504327,-2.0841527,-9.67856,20230915-14:02:48.868,-0.005726862,0.0071013086,-0.0027488936,20230915-14:02:48.895,0.5475,25.335,29.324999,20230915-14:02:48.860,0.06767937,0.21209659,-3.137511,86906,1,100
